StopCode,StopName,Country,StopLat,StopLng
HMBV,Helmond Brandevoort,NL,51.462223052979,5.6072220802307
HMBH,Helmond Brouwhuis,NL,51.47068,5.70177
LKM,Hemiksem,B,51.13624,4.33828
HMN,Hemmen-Dodewaard,NL,51.9222129,5.6737254
HGL,Hengelo,NL,52.261665344238,6.7938890457153
HGLG,Hengelo Gezondheidspark,NL,52.261667,6.767778
HGLO,Hengelo Oost,NL,52.268890380859,6.8194446563721
LHS,Herstal,B,50.66076,5.62231
HZ,Herzogenrath,D,50.870916,6.094486
HIL,Hillegom,NL,52.302501678467,4.5655555725098
HVS,Hilversum,NL,52.225833892822,5.1819443702698
HVSM,Hilversum Media Park,NL,52.238056182861,5.1738886833191
HVSP,Hilversum Sportpark,NL,52.216110229492,5.1872220039368
HNP,Hindeloopen,NL,52.9464903,5.423063
FOE,Hoboken-Polder,B,51.18285,4.34831
HB,Hoensbroek,NL,50.905555725098,5.9305553436279
HVL,Hoevelaken,NL,52.16652,5.45718
HOR,Hollandsche Rading,NL,52.17777633667,5.1791667938232
HON,Holten,NL,52.283889770508,6.42027759552
EHZW,Holzwickede,D,51.504767,7.619647
HFD,Hoofddorp,NL,52.293334960938,4.7005553245544
HGV,Hoogeveen,NL,52.733890533447,6.4736108779907
HGZ,Hoogezand-Sappemeer,NL,53.159818131676,6.7707538604736
HKS,Hoogkarspel,NL,52.69055557251,5.1838889122009
HN,Hoorn,NL,52.644721984863,5.0555553436279
HNK,Hoorn Kersenboogerd,NL,52.653610229492,5.0855555534363
HOPF,Hopfgarten,A,47.45525,12.14921
HRT,Horst-Sevenum,NL,51.426387786865,6.0422220230103
HTN,Houten,NL,52.03402,5.16821
HTNC,Houten Castellum,NL,52.01701,5.17949
SGL,Houthem-St. Gerlach,NL,50.873332977295,5.7972221374512
HDG,Hurdegaryp,NL,53.2187783,5.934543
IJT,IJlst,NL,53.0146614,5.6160801
INNSB,Innsbruck Hbf,A,47.26328,11.401
JENBAC,Jenbach,A,47.38844,11.77841
KN,Kaldenkirchen,D,51.327184,6.203225
FKTH,Kalmthout,B,51.3909989,4.4668202
KPN,Kampen,NL,52.559722900391,5.9216666221619
KPNZ,Kampen Zuid,NL,52.5331,5.91309
BZL,Kapelle-Biezelinge,NL,51.480834960938,3.9561111927033
LKP,Kapellen,B,51.31362,4.43262
KARLSR,Karlsruhe Hbf,D,48.9936223,8.400743
KRD,Kerkrade Centrum,NL,50.861667633057,6.0574998855591
KTR,Kesteren,NL,51.9313869,5.5833465
GKT,Kijkuit,B,51.37867,4.46722
KBK,Klarenbeek,NL,52.17805480957,6.0836110115051
KMR,Klimmen-Ransdaal,NL,50.866390228271,5.8905553817749
KKO,Koblenz Hbf,D,50.351085,7.588649
KOLN,Köln Hbf,D,50.9432158,6.9589214
KKD,Köln Messe/Deutz,D,50.940874,6.975001
KKW,Köln West,D,50.943611,6.934444
KKERP,Köln-Ehrenfeld,D,50.951533,6.917276
